"I, 7, 99, 0.001264, 0.125181
beacons, 7, 100, 0.001264, 0.126445
other, 7, 101, 0.001264, 0.127710
every, 7, 102, 0.001264, 0.128974
or, 7, 103, 0.001264, 0.130238
more, 7, 104, 0.001264, 0.131503
than, 7, 105, 0.001264, 0.132767
must, 7, 106, 0.001264, 0.134032
new, 7, 107, 0.001264, 0.135296
We, 7, 108, 0.001264, 0.136561
can, 7, 109, 0.001264, 0.137825
then, 7, 110, 0.001264, 0.139090
make, 7, 111, 0.001264, 0.140354
good, 7, 112, 0.001264, 0.141618
toward, 7, 113, 0.001264, 0.142883
dropped, 7, 114, 0.001264, 0.144147
Holy, 7, 115, 0.001264, 0.145412
door, 7, 116, 0.001264, 0.146676
blind, 7, 117, 0.001264, 0.147941
look, 6, 118, 0.001084, 0.127890
great, 6, 119, 0.001084, 0.128974
me., 6, 120, 0.001084, 0.130058
being, 6, 121, 0.001084, 0.131142
job, 6, 122, 0.001084, 0.132225
Before, 6, 123, 0.001084, 0.133309
made, 6, 124, 0.001084, 0.134393
inside, 6, 125, 0.001084, 0.135477
first, 6, 126, 0.001084, 0.136561
eyes, 6, 127, 0.001084, 0.137644
least, 6, 128, 0.001084, 0.138728
few, 6, 129, 0.001084, 0.139812
ships, 6, 130, 0.001084, 0.140896
gave, 6, 131, 0.001084, 0.141980
called, 6, 132, 0.001084, 0.143064
get, 6, 133, 0.001084, 0.144147
any, 6, 134, 0.001084, 0.145231
tried, 6, 135, 0.001084, 0.146315
course, 6, 136, 0.001084, 0.147399
In, 6, 137, 0.001084, 0.148483
Then, 6, 138, 0.001084, 0.149566
him, 6, 139, 0.001084, 0.150650
Old, 5, 140, 0.000903, 0.126445
Man, 5, 141, 0.000903, 0.127348
very, 5, 142, 0.000903, 0.128251
even, 5, 143, 0.000903, 0.129155
couldn't, 5, 144, 0.000903, 0.130058
If, 5, 145, 0.000903, 0.130961
still, 5, 146, 0.000903, 0.131864
should, 5, 147, 0.000903, 0.132767
well, 5, 148, 0.000903, 0.133671
pile, 5, 149, 0.000903, 0.134574
it., 5, 150, 0.000903, 0.135477
thing, 5, 151, 0.000903, 0.136380
think, 5, 152, 0.000903, 0.137283
again., 5, 153, 0.000903, 0.138186
without, 5, 154, 0.000903, 0.139090
hyperspace., 5, 155, 0.000903, 0.139993
most, 5, 156, 0.000903, 0.140896
this,, 5, 157, 0.000903, 0.141799
old, 5, 158, 0.000903, 0.142702
beacon., 5, 159, 0.000903, 0.143605
course,, 5, 160, 0.000903, 0.144509
pyramid., 5, 161, 0.000903, 0.145412
see, 5, 162, 0.000903, 0.146315
lizard, 5, 163, 0.000903, 0.147218
crowd, 5, 164, 0.000903, 0.148121
after, 5, 165, 0.000903, 0.149025
got, 5, 166, 0.000903, 0.149928
time., 4, 167, 0.000723, 0.120665
up,, 4, 168, 0.000723, 0.121387
onto, 4, 169, 0.000723, 0.122110
said., 4, 170, 0.000723, 0.122832
how, 4, 171, 0.000723, 0.123555
contract, 4, 172, 0.000723, 0.124277
another, 4, 173, 0.000723, 0.125000
said, 4, 174, 0.000723, 0.125723
know, 4, 175, 0.000723, 0.126445
job., 4, 176, 0.000723, 0.127168
has, 4, 177, 0.000723, 0.127890
down., 4, 178, 0.000723, 0.128613
III, 4, 179, 0.000723, 0.129335
him., 4, 180, 0.000723, 0.130058
type, 4, 181, 0.000723, 0.130780
until, 4, 182, 0.000723, 0.131503
did, 4, 183, 0.000723, 0.132225
while, 4, 184, 0.000723, 0.132948
parts, 4, 185, 0.000723, 0.133671
almost, 4, 186, 0.000723, 0.134393
long, 4, 187, 0.000723, 0.135116
way, 4, 188, 0.000723, 0.135838
knew, 4, 189, 0.000723, 0.136561
same, 4, 190, 0.000723, 0.137283
ship, 4, 191, 0.000723, 0.138006
Not, 4, 192, 0.000723, 0.138728
many, 4, 193, 0.000723, 0.139451
power, 4, 194, 0.000723, 0.140173
own, 4, 195, 0.000723, 0.140896
where, 4, 196, 0.000723, 0.141618
came, 4, 197, 0.000723, 0.142341
After, 4, 198, 0.000723, 0.143064
All, 4, 199, 0.000723, 0.143786
give, 4, 200, 0.000723, 0.144509
located, 4, 201, 0.000723, 0.145231
outside, 4, 202, 0.000723, 0.145954
flying, 4, 203, 0.000723, 0.146676
things, 4, 204, 0.000723, 0.147399
started, 4, 205, 0.000723, 0.148121
stone, 4, 206, 0.000723, 0.148844
straight, 4, 207, 0.000723, 0.149566
repairman, 4, 208, 0.000723, 0.150289
One, 4, 209, 0.000723, 0.151012
speaker, 4, 210, 0.000723, 0.151734
MT, 4, 211, 0.000723, 0.152457
O, 4, 212, 0.000723, 0.153179
going, 4, 213, 0.000723, 0.153902
began, 4, 214, 0.000723, 0.154624
metal, 4, 215, 0.000723, 0.155347
suit, 4, 216, 0.000723, 0.156069
behind, 4, 217, 0.000723, 0.156792
me,, 4, 218, 0.000723, 0.157514
open, 4, 219, 0.000723, 0.158237
pipe, 4, 220, 0.000723, 0.158960
bad, 3, 221, 0.000542, 0.119762
meant, 3, 222, 0.000542, 0.120303
figure, 3, 223, 0.000542, 0.120845
because, 3, 224, 0.000542, 0.121387
thick, 3, 225, 0.000542, 0.121929
It",3,226,0.000542,0.122471,
leaned,3,227,0.000542,0.123013,
Solar,3,228,0.000542,0.123555,
burned,3,229,0.000542,0.124097,
waiting,3,230,0.000542,0.124639,
Centauri,3,231,0.000542,0.125181,
Mark,3,232,0.000542,0.125723,
kind,3,233,0.000542,0.126264,
hyperspace,3,234,0.000542,0.126806,
heard,3,235,0.000542,0.127348,
